name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guangzhou,2021-01-01,15,3.8,9.1,15,0.6,7.8,-10.9,24.6,0,0,0,,0,0,29.7,21.6,0.7,1027.6,47.1,13.5,205.4,17.7,8,,2021-01-01T07:08:23,2021-01-01T17:52:49,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-02,18,4.8,11,18,3.2,10.8,-4.1,39.1,0,0,0,,0,0,25.2,8.6,34.9,1023.8,20.6,13.2,205.4,17.7,8,,2021-01-02T07:08:41,2021-01-02T17:53:28,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-03,22,5.8,14.2,22,4.7,13.8,0,42.1,0,0,0,,0,0,31.6,18,7.9,1023.1,40.4,12.9,179.5,15.6,7,,2021-01-03T07:08:57,2021-01-03T17:54:07,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-04,21,14.3,17.1,21,14.3,17.1,0.6,33.2,0,0,0,,0,0,22.1,18,357.3,1022,60,13.5,179.4,15.5,7,,2021-01-04T07:09:12,2021-01-04T17:54:47,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-05,23,15.1,18.3,23,15.1,18.3,3.3,37.5,0,0,0,,0,0,25,21.6,358,1021,44.1,13.4,178.6,15.5,7,,2021-01-05T07:09:26,2021-01-05T17:55:28,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-06,19,12,15.5,19,12,15.5,1.9,39.9,0,0,0,,0,0,25.8,21.6,0.7,1020.9,52.3,12,177.1,15.3,7,,2021-01-06T07:09:39,2021-01-06T17:56:08,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-07,16,6.6,11.4,16,2.6,10.3,2.9,56.2,0,0,0,,0,0,47.1,36,10.1,1023.3,78.8,11.9,154.1,13.3,6,,2021-01-07T07:09:50,2021-01-07T17:56:50,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-08,7,5,6.4,4.3,0.8,2.4,-4.4,46.4,0,0,0,,0,0,47.7,36,8.7,1028,72.1,13.1,119.3,10.2,5,,2021-01-08T07:10:00,2021-01-08T17:57:31,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-09,12,5.5,8.7,12,1.8,6.8,-11.4,23.3,0,0,0,,0,0,43.2,25.2,7.8,1026.3,70.9,13.6,182.9,15.7,7,,2021-01-09T07:10:08,2021-01-09T17:58:13,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-10,12,8.3,10,12,6.8,9.5,-9.6,24.5,0,0,0,,0,0,26.3,21.6,12.4,1025.1,86.3,13.6,91.7,8,3,,2021-01-10T07:10:15,2021-01-10T17:58:55,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-11,9,6,7.4,6.8,2,4.5,-4.5,43.7,0.233,100,12.5,rain,0,0,49.4,32.4,358.1,1028.6,81.3,13.4,96,8.3,3,,2021-01-11T07:10:21,2021-01-11T17:59:38,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-12,16,3.6,9.3,16,0.1,7.9,-6.7,34.8,0,0,0,,0,0,42.8,32.4,347.8,1025.4,14.9,13.2,219.4,19.1,8,,2021-01-12T07:10:26,2021-01-12T18:00:20,1,Clear,Clear conditions throughout the day.,clear-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-13,20,3,10.7,20,0.7,10.2,-3,43.8,0,0,0,,0,0,33.2,8.1,32.7,1020.3,11.2,12.7,210,18,8,,2021-01-13T07:10:29,2021-01-13T18:01:03,0,Clear,Clear conditions throughout the day.,clear-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-14,22,5.7,13.4,22,4.2,13.1,-0.2,45.1,0,0,0,,0,0,14.9,7.2,118.5,1018.2,16.5,10.6,197.3,16.9,7,,2021-01-14T07:10:30,2021-01-14T18:01:46,0.01,Clear,Clear conditions throughout the day.,clear-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-15,23,7.9,15,23,7.1,14.9,5,53.8,0,0,0,,0,0,16.5,7.3,45.2,1016.4,62.4,7.5,192.2,16.6,7,,2021-01-15T07:10:31,2021-01-15T18:02:29,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-16,23,9.5,16.2,23,8.6,16.1,7.8,60.2,0,0,0,,0,0,17.2,7.5,37.7,1017.5,38.5,5,133.4,11.4,5,,2021-01-16T07:10:29,2021-01-16T18:03:12,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-17,19,10.6,15.2,19,10.6,15.2,0.2,36.3,0,0,0,,0,0,47.6,36,0.2,1025.3,38.8,11,175.6,15.2,7,,2021-01-17T07:10:27,2021-01-17T18:03:55,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-18,18,7.4,12.1,18,5,11.4,-1.6,40.6,0,0,0,,0,0,45.3,14.4,343.8,1024.5,65.2,12.7,198.6,17.3,7,,2021-01-18T07:10:23,2021-01-18T18:04:39,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-19,20,6.2,13.2,20,4.7,12.9,1.6,49.1,0,0,0,,0,0,20.7,9.2,71.2,1020.8,27.6,12,204.7,17.6,8,,2021-01-19T07:10:17,2021-01-19T18:05:22,0.19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-20,23,11.3,17.7,23,11.3,17.7,7.3,51.7,0,0,0,,0,0,18,7.3,98.2,1018.6,41.4,10.4,147.9,12.7,6,,2021-01-20T07:10:11,2021-01-20T18:06:05,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-21,23,15.8,19.2,23,15.8,19.2,13.8,71.7,0.229,100,16.67,rain,0,0,24.4,18,321.1,1016.1,86.9,8,110.8,9.7,5,,2021-01-21T07:10:02,2021-01-21T18:06:48,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-22,24,16.8,19.8,24,16.8,19.8,15.9,79,0.306,100,8.33,rain,0,0,24.4,18,339.8,1014.2,58.7,11.8,152.7,13.3,6,,2021-01-22T07:09:53,2021-01-22T18:07:31,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-23,25,15.5,19.5,25,15.5,19.5,12.4,66,0,0,0,,0,0,30.8,21.6,346.5,1014.7,16.9,10.2,200,17.4,7,,2021-01-23T07:09:42,2021-01-23T18:08:13,0.37,Clear,Clear conditions throughout the day.,clear-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-24,24,13.8,18.9,24,13.8,18.9,12.2,66,0,0,0,,0,0,26.5,18,124.9,1016.9,59.5,10.1,197.3,17.1,7,,2021-01-24T07:09:29,2021-01-24T18:08:56,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
guangzhou,2021-01-25,26,16.1,20.7,26,16.1,20.7,13.6,64.7,0,0,0,,0,0,26,10.8,118.3,1017.6,49.5,12,185,15.8,7,,2021-01-25T07:09:16,2021-01-25T18:09:38,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZGGG,59287099999,59278099999"
